total_html_files=116
E:\irfan fies\git hub\savera-services\AC-Repair-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Cooler-Repair-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Fridge-Repair-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\genrator.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\index.html: ga4=yes, click_tracking=no, booking_submit=no
E:\irfan fies\git hub\savera-services\Microwave-Repair-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\TV-Repair-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Washing-Machine-Pune.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Water-Pureifire-Repair.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Aundh.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Balewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Baner.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Bibwewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Camp.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Chinchwad.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Dhankawadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Hadpsar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Karve-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Kharadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Kondhwa.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Kothrud.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Magarpatta.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Mundhwa.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Pimple-Saudagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Pimpri.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Shivaji-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Sinhagad-Road.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Viman-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Wakad.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\AC Page\AC-Repair-in-Warje.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Aundh.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Balewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Baner.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Bibwewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Camp.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Chinchwad.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Dhankawadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Hadpsar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Karve-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Kharadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Kondhwa.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Kothrud.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Magarpatta.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Mundhwa.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Pimple-Saudagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Pimpri.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Shivaji-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Sinhagad-Road.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Viman-Nagar.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Wakad.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Fridge Page\Fridge-Repair-in-Warje.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Aundh.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Balewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Baner.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Bibwewadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Camp.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Chinchwad.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Dhankawadi.html: ga4=no, click_tracking=no, booking_submit=yes
E:\irfan fies\git hub\savera-services\Area Pages\Microwave Page\Microwave-Repair-in-Hadpsar.html: ga4=no, click_tracking=no, booking_submit=yes
